home	 ['NN', 4991]
kitchen	 ['NN', 3840]
bedrooms	 ['NNS', 3525]
family	 ['NN', 3224]
living	 ['NN', 3052]
area	 ['NN', 2956]
room	 ['NN', 2710]
bedroom	 ['NN', 2620]
bathroom	 ['NN', 2373]
access	 ['NN', 2325]
gas	 ['NN', 2162]
space	 ['NN', 1804]
garage	 ['NN', 1768]
plan	 ['NN', 1735]
schools	 ['NNP', 1728]
master	 ['NN', 1696]
shops	 ['NNS', 1630]
level	 ['NN', 1537]
air	 ['NN', 1493]
quality	 ['NN', 1466]
property	 ['NN', 1460]
storage	 ['NN', 1443]
walk	 ['NN', 1442]
shopping	 ['NNP', 1407]
lounge	 ['NNP', 1392]
station	 ['NN', 1379]
location	 ['NN', 1375]
apartment	 ['NN', 1318]
street	 ['NN', 1290]
floor	 ['NN', 1264]
laundry	 ['NN', 1229]
school	 ['NN', 1221]
opportunity	 ['NN', 1217]
features	 ['NNS', 1181]
block	 ['NN', 1160]
city	 ['NN', 1119]
security	 ['NN', 1084]
garden	 ['NN', 1081]
stone	 ['NNP', 1076]
timber	 ['NN', 1074]
views	 ['NNS', 1047]
centre	 ['NNP', 1037]
appliances	 ['NNS', 1021]
park	 ['NNP', 996]
pool	 ['NN', 946]
approx	 ['NN', 907]
balcony	 ['NN', 902]
light	 ['NN', 888]
car	 ['NN', 870]
areas	 ['NNS', 869]
minutes	 ['NNS', 858]
dining	 ['NN', 856]
residence	 ['NN', 842]
bathrooms	 ['NNS', 831]
distance	 ['NN', 817]
ensuite	 ['NN', 815]
ceilings	 ['NNS', 807]
water	 ['NN', 795]
brick	 ['NN', 777]
transport	 ['NN', 749]
floors	 ['NNS', 747]
size	 ['NN', 738]
conditioning	 ['NN', 737]
style	 ['NN', 715]
train	 ['NN', 709]
primary	 ['NNP', 702]
cafes	 ['NN', 702]
lifestyle	 ['NN', 697]
study	 ['NN', 689]
stroll	 ['NN', 687]
steel	 ['NN', 684]
gardens	 ['NNS', 682]
system	 ['NN', 679]
bus	 ['NN', 669]
heating	 ['NN', 667]
buses	 ['NNS', 663]
village	 ['NNP', 635]
interiors	 ['NNS', 632]
robes	 ['NNS', 627]
high	 ['NNP', 625]
maintenance	 ['NN', 619]
parks	 ['NNS', 614]
land	 ['NN', 611]
bench	 ['NN', 601]
north	 ['NN', 600]
large	 ['NNP', 569]
ceiling	 ['NN', 560]
plenty	 ['NN', 555]
CBD	 ['NNP', 553]
secure	 ['NN', 552]
deck	 ['NN', 549]
entry	 ['NN', 549]
robe	 ['NN', 534]
side	 ['NNP', 533]
parking	 ['NN', 524]
design	 ['NN', 517]
investment	 ['NN', 509]
set	 ['NNP', 508]
hill	 ['NNP', 503]
offers	 ['NNS', 500]
spaces	 ['NNS', 500]
college	 ['NNP', 499]
bath	 ['NN', 497]
public	 ['NNP', 496]
doors	 ['NNS', 495]
*	 ['NNP', 494]
rear	 ['NNP', 491]
road	 ['NN', 487]
convenience	 ['NN', 485]
double	 ['NNP', 479]
STCA	 ['NNP', 467]
information	 ['NN', 466]
moments	 ['NNP', 466]
position	 ['NN', 463]
terrace	 ['NN', 463]
restaurants	 ['NNS', 462]
layout	 ['NN', 460]
internal	 ['NNP', 459]
modern	 ['NNP', 455]
luxury	 ['NNP', 450]
split	 ['NN', 446]
lock	 ['NN', 445]
backyard	 ['NN', 441]
westfield	 ['NNP', 440]
alfresco	 ['NN', 435]
house	 ['NN', 435]
carport	 ['NN', 430]
front	 ['NN', 425]
office	 ['NNP', 425]
perfect	 ['NN', 424]
open	 ['NNP', 424]
building	 ['NN', 424]
courtyard	 ['NN', 423]
investors	 ['NNS', 414]
retreat	 ['NN', 413]
potential	 ['NN', 411]
ideal	 ['NNP', 406]
unit	 ['NN', 397]
complex	 ['NN', 391]
toilet	 ['NN', 386]
aspect	 ['NN', 385]
glass	 ['NN', 379]
comfort	 ['NN', 378]
heart	 ['NN', 375]
families	 ['NNS', 372]
corner	 ['NN', 371]
intercom	 ['NN', 370]
shower	 ['NN', 368]
bay	 ['NNP', 367]
finishes	 ['NNS', 365]
facilities	 ['NNS', 360]
well	 ['NNP', 359]
ground	 ['NN', 359]
amenities	 ['NNS', 358]
brand	 ['NN', 355]
outdoor	 ['NN', 355]
development	 ['NN', 354]
drive	 ['NN', 352]
designer	 ['NNP', 352]
built-ins	 ['NNS', 350]
stainless	 ['NN', 348]
chatswood	 ['NNP', 348]
entertaining	 ['NN', 347]
buyers	 ['NNS', 346]
zone	 ['NN', 346]
cooking	 ['NN', 340]
meals	 ['NNS', 337]
sydney	 ['NNP', 337]
fireplace	 ['NN', 331]
alarm	 ['NN', 330]
sun	 ['NNP', 326]
dishwasher	 ['NN', 324]
inspection	 ['NN', 321]
metres	 ['NNS', 321]
entertainment	 ['NN', 319]
close	 ['NNP', 318]
yard	 ['NN', 318]
spacious	 ['NNP', 315]
breakfast	 ['NN', 314]
place	 ['NN', 312]
frontage	 ['NN', 310]
box	 ['NNP', 307]
st	 ['NNP', 307]
spa	 ['NN', 302]
windows	 ['NNS', 302]
powder	 ['NN', 301]
reserve	 ['NNP', 301]
privacy	 ['NN', 300]
suite	 ['NN', 298]
caesarstone	 ['NNP', 297]
site	 ['NN', 296]
ducted	 ['NNP', 296]
rooms	 ['NNS', 292]
downstairs	 ['NNS', 290]
bar	 ['NN', 290]
door	 ['NN', 288]
epping	 ['NNP', 288]
benchtops	 ['NNS', 286]
floorboards	 ['NNS', 285]
east	 ['NNP', 283]
accommodation	 ['NN', 283]
today	 ['NN', 279]
university	 ['NNP', 274]
proximity	 ['NN', 272]
separate	 ['NNP', 270]
miele	 ['NNP', 269]
island	 ['NN', 268]
setting	 ['NN', 267]
superb	 ['NNP', 265]
top	 ['NN', 265]
time	 ['NN', 265]
cooktop	 ['NN', 263]
cycle	 ['NN', 263]
address	 ['NN', 259]
cooling	 ['NN', 259]
BBQ	 ['NNP', 257]
upstairs	 ['NNS', 257]
macquarie	 ['NNP', 255]
secondary	 ['NNP', 254]
generous	 ['NNP', 252]
estate	 ['NNP', 252]
wardrobes	 ['NNS', 251]
pantry	 ['NN', 248]
gourmet	 ['NNP', 248]
convenient	 ['NN', 245]
rumpus	 ['NN', 245]
market	 ['NN', 244]
floorplan	 ['NN', 243]
abundance	 ['NN', 241]
feature	 ['NN', 238]
catchment	 ['NN', 237]
driveway	 ['NN', 234]
years	 ['NNS', 233]
lane	 ['NN', 233]
boutique	 ['NN', 232]
sqm	 ['NN', 230]
private	 ['NNP', 230]
tops	 ['NNS', 229]
dream	 ['NN', 226]
council	 ['NNP', 226]
district	 ['NN', 225]
services	 ['NNS', 224]
homes	 ['NNS', 221]
doncaster	 ['NNP', 219]
+	 ['NNP', 216]
appeal	 ['NN', 215]
flow	 ['NNP', 214]
levels	 ['NNS', 212]
patio	 ['NN', 211]
freeway	 ['NNP', 211]
